spectrum_id,emission_phase,time_interval_s_since_trigger,time_start_s_since_trigger,time_stop_s_since_trigger,band_alpha_raw,band_alpha,band_alpha_err_minus,band_alpha_err_plus,band_beta_raw,band_beta,band_beta_err_minus,band_beta_err_plus,band_beta_is_upper_limit,epeak_kev_raw,epeak_kev,epeak_kev_err_minus,epeak_kev_err_plus,flux_erg_cm2_s_20kev_10mev_raw,flux_erg_cm2_s_20kev_10mev,flux_erg_cm2_s_20kev_10mev_err_minus,flux_erg_cm2_s_20kev_10mev_err_plus,chi2,dof,spectral_model,source_arxiv,source_tex_path,source_table,notes
1 to 7,Initial pulse,0.000--24.832,0.000,24.832,-1.62_{-0.04}^{+0.05},-1.62,-0.04,+0.05,<2.0,2.0,,,true,970_{-330}^{+704},970,-330,+704,1.03_{-0.15}^{+0.21}\times10^{-6},1.03e-06,-1.5e-07,2.1e-07,80,98,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
1 to 5,Initial pulse,0.000--8.448,0.000,8.448,-1.65_{-0.03}^{+0.03},-1.65,-0.03,+0.03,<2.0,2.0,,,true,1495_{-448}^{+884},1495,-448,+884,2.58_{-0.30}^{+0.40}\times10^{-6},2.58e-06,-3e-07,4e-07,89,94,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
27 to 58,P1,180.480--208.640,180.480,208.640,-1.17_{-0.02}^{+0.02},-1.17,-0.02,+0.02,-2.60_{-0.12}^{+0.09},-2.60,-0.12,+0.09,false,1011_{-54}^{+54},1011,-54,+54,3.64_{-0.04}^{+0.04}\times10^{-5},3.64e-05,-4e-07,4e-07,181,97,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
35 to 41,P1,186.624--188.416,186.624,188.416,-0.93_{-0.02}^{+0.02},-0.93,-0.02,+0.02,-3.08_{-0.48}^{+0.27},-3.08,-0.48,+0.27,false,1702_{-110}^{+111},1702,-110,+111,1.11_{-0.05}^{+0.05}\times10^{-4},0.000111,-5e-06,5e-06,58,79,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
59,P2,208.640--216.832,208.640,216.832,-1.33_{-0.03}^{+0.03},-1.33,-0.03,+0.03,-2.40_{-0.18}^{+0.12},-2.40,-0.18,+0.12,false,981_{-106}^{+112},981,-106,+112,3.67_{-0.09}^{+0.09}\times10^{-5},3.67e-05,-9e-07,9e-07,158,93,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
60,P2,216.832--225.024,216.832,225.024,-1.18_{-0.07}^{+0.08},-1.18,-0.07,+0.08,-2.49_{-0.06}^{+0.05},-2.49,-0.06,+0.05,false,2733_{-133}^{+141},2733,-133,+141,1.29_{-0.18}^{+0.20}\times10^{-3},0.00129,-0.00018,0.0002,60,55,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
61,P2,225.024--233.216,225.024,233.216,-0.76_{-0.05}^{+0.05},-0.76,-0.05,+0.05,-2.13_{-0.02}^{+0.02},-2.13,-0.02,+0.02,false,3038_{-116}^{+120},3038,-116,+120,1.62_{-0.09}^{+0.09}\times10^{-2},0.0162,-0.0009,0.0009,75,59,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
62,P2,233.216--241.408,233.216,241.408,-0.86_{-0.06}^{+0.06},-0.86,-0.06,+0.06,-2.78_{-0.04}^{+0.04},-2.78,-0.04,+0.04,false,1617_{-32}^{+32},1617,-32,+32,2.17_{-0.09}^{+0.09}\times10^{-3},0.00217,-9e-05,9e-05,77,58,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
63,P2,241.408--249.600,241.408,249.600,-1.25_{-0.04}^{+0.04},-1.25,-0.04,+0.04,-2.75_{-0.06}^{+0.05},-2.75,-0.06,+0.05,false,1072_{-31}^{+32},1072,-31,+32,3.15_{-0.15}^{+0.15}\times10^{-4},0.000315,-1.5e-05,1.5e-05,85,67,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
64,P3,249.600--257.792,249.600,257.792,-0.97_{-0.06}^{+0.07},-0.97,-0.06,+0.07,-2.51_{-0.04}^{+0.04},-2.51,-0.04,+0.04,false,1886_{-71}^{+73},1886,-71,+73,8.60_{-0.12}^{+0.12}\times10^{-4},0.00086,-1.2e-05,1.2e-05,53,56,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
27 to 64,P1 + P2 + P3,180.480--257.792,180.480,257.792,-0.89_{-0.05}^{+0.06},-0.89,-0.05,+0.06,-2.21_{-0.02}^{+0.02},-2.21,-0.02,+0.02,false,2660_{-105}^{+109},2660,-105,+109,2.22_{-0.10}^{+0.11}\times10^{-3},0.00222,-0.0001,0.00011,60,58,Band,2302.13383,grb221009a.tex,TableSpec,Flux averaged over the spectrum accumulation interval in the 20 keV-10 MeV band. No rest-frame or bolometric correction applied.
